,number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_learning_rate,user_attrs_pruned,user_attrs_training_time,state
0,0,0.27052666181642765,2025-02-04 14:15:03.844543,2025-02-04 14:17:42.428016,0 days 00:02:38.583473,512.0,0.0002137254762976749,,158.53231978416443,COMPLETE
1,1,0.2722447166587026,2025-02-04 14:17:42.428285,2025-02-04 14:18:32.060611,0 days 00:00:49.632326,512.0,0.00044237889656780096,,49.584428548812866,COMPLETE
2,2,0.2761510215692989,2025-02-04 14:18:32.060846,2025-02-04 14:20:11.470406,0 days 00:01:39.409560,128.0,0.0009458855424594681,,99.3618221282959,COMPLETE
3,3,0.27360940256473393,2025-02-04 14:20:11.470650,2025-02-04 14:21:00.827851,0 days 00:00:49.357201,256.0,0.0007388671944669787,,49.309577226638794,COMPLETE
4,4,0.27075348773191815,2025-02-04 14:21:00.828087,2025-02-04 14:22:18.506863,0 days 00:01:17.678776,512.0,0.0003252972769112215,,77.63103294372559,COMPLETE
5,5,0.27751576102556724,2025-02-04 14:22:18.507100,2025-02-04 14:23:21.587265,0 days 00:01:03.080165,512.0,0.00040451768236432397,,63.03230381011963,COMPLETE
6,6,0.2736153224195,2025-02-04 14:23:21.587493,2025-02-04 14:24:38.943186,0 days 00:01:17.355693,1024.0,0.0003503014516406083,,77.30777502059937,COMPLETE
7,7,0.2762524935369905,2025-02-04 14:24:38.943423,2025-02-04 14:26:38.178394,0 days 00:01:59.234971,128.0,0.0009402653238331822,,119.18722867965698,COMPLETE
8,8,0.2729048812259878,2025-02-04 14:26:38.178615,2025-02-04 14:27:51.918554,0 days 00:01:13.739939,512.0,0.0001365817841335476,,73.68769073486328,COMPLETE
9,9,0.27152313665240163,2025-02-04 14:27:51.918770,2025-02-04 14:29:07.179172,0 days 00:01:15.260402,128.0,0.00019256808906915676,,75.21030163764954,COMPLETE
10,10,0.273709379998565,2025-02-04 14:29:07.179381,2025-02-04 14:29:56.452015,0 days 00:00:49.272634,,0.00010378313780091114,,49.22928786277771,COMPLETE
11,11,0.2693266430543677,2025-02-04 14:29:56.452242,2025-02-04 14:31:04.188362,0 days 00:01:07.736120,256.0,0.00024513121658686774,,67.68582010269165,COMPLETE
12,12,0.2700616216274379,2025-02-04 14:31:04.188570,2025-02-04 14:32:24.739339,0 days 00:01:20.550769,256.0,0.00012666503581555517,,80.5006000995636,COMPLETE
13,13,0.2708194149109277,2025-02-04 14:32:24.739546,2025-02-04 14:33:46.179783,0 days 00:01:21.440237,256.0,0.0001875954717746995,,81.3901162147522,COMPLETE
14,14,0.27005822998909157,2025-02-04 14:33:46.179992,2025-02-04 14:34:49.897659,0 days 00:01:03.717667,256.0,0.00012559374980062812,,63.66746258735657,COMPLETE
15,15,0.2692360982765509,2025-02-04 14:34:49.897873,2025-02-04 14:35:56.884911,0 days 00:01:06.987038,1024.0,0.0001161404627424726,,66.93669009208679,COMPLETE
16,16,0.2712336040249865,2025-02-04 14:35:56.885132,2025-02-04 14:37:00.416817,0 days 00:01:03.531685,1024.0,0.00010910176099404405,,63.481321811676025,COMPLETE
17,17,0.27132152926427344,2025-02-04 14:37:00.417025,2025-02-04 14:38:20.611376,0 days 00:01:20.194351,64.0,0.0002313423897417669,,80.14431691169739,COMPLETE
18,18,0.26902289994611683,2025-02-04 14:38:20.611590,2025-02-04 14:39:42.738241,0 days 00:01:22.126651,256.0,0.00034133829163332497,,82.07639622688293,COMPLETE
19,19,0.28442738022814384,2025-02-04 14:39:42.738448,2025-02-04 14:40:34.677371,0 days 00:00:51.938923,,0.0005006814860256085,,51.89552021026611,COMPLETE
20,20,0.27462495739327797,2025-02-04 14:40:34.677579,2025-02-04 14:41:45.853796,0 days 00:01:11.176217,256.0,0.00041073462427859854,,71.12600588798523,COMPLETE
21,21,0.2721212697174028,2025-02-04 14:41:45.854007,2025-02-04 14:43:31.105167,0 days 00:01:45.251160,256.0,0.00030598441248390974,,105.20079755783081,COMPLETE
22,22,0.2710426562530205,2025-02-04 14:43:31.105385,2025-02-04 14:44:53.331734,0 days 00:01:22.226349,64.0,0.0004911151990358802,,82.17609453201294,COMPLETE
