,number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_num_layers,params_rnn_type,params_units,user_attrs_pruned,user_attrs_training_time,state
0,0,0.3910769689609997,2025-02-03 06:15:33.118795,2025-02-03 06:24:07.505134,0 days 00:08:34.386339,0.5,0.0002761867306208985,1,GRU,128,,513.2475736141205,COMPLETE
1,1,0.3917214747310324,2025-02-03 06:24:07.505433,2025-02-03 06:35:07.340323,0 days 00:10:59.834890,0.2,0.0022646954351148467,2,GRU,128,,658.3730387687683,COMPLETE
2,2,0.3642540885045163,2025-02-03 06:35:07.340598,2025-02-03 06:51:31.976896,0 days 00:16:24.636298,0.2,0.00010355993045411824,1,LSTM,32,,983.5579860210419,COMPLETE
3,3,0.5134776074996533,2025-02-03 06:51:31.977168,2025-02-03 07:03:26.967783,0 days 00:11:54.990615,0.1,0.0028896858477926216,3,GRU,64,,713.6714022159576,COMPLETE
4,4,0.3803237070101531,2025-02-03 07:03:26.968051,2025-02-03 07:16:02.412403,0 days 00:12:35.444352,0.1,0.0022140537742803374,3,LSTM,32,,754.1572914123535,COMPLETE
5,5,0.38591053185427526,2025-02-03 07:16:02.412671,2025-02-03 07:31:41.457271,0 days 00:15:39.044600,0.0,0.00010756930896540037,1,LSTM,64,,937.9759058952332,COMPLETE
6,6,0.8002952608301622,2025-02-03 07:31:41.457535,2025-02-03 07:40:06.099045,0 days 00:08:24.641510,0.2,0.006986513592121448,1,LSTM,96,,503.54633498191833,COMPLETE
7,7,0.6666716913881814,2025-02-03 07:40:06.099322,2025-02-03 07:49:37.997887,0 days 00:09:31.898565,0.0,0.002341876590046895,2,GRU,32,,570.7915945053101,COMPLETE
8,8,0.34501348172131374,2025-02-03 07:49:37.998155,2025-02-03 08:03:45.699132,0 days 00:14:07.700977,0.30000000000000004,0.00025521104813971046,2,LSTM,32,,846.552476644516,COMPLETE
9,9,0.5170855601583434,2025-02-03 08:03:45.699371,2025-02-03 08:16:26.518507,0 days 00:12:40.819136,0.5,0.0007163247539396398,3,LSTM,32,,759.5279107093811,COMPLETE
10,10,0.39582491732279584,2025-02-03 08:16:26.518751,2025-02-03 08:33:45.932914,0 days 00:17:19.414163,0.5,0.00013588377700712978,2,LSTM,64,,1038.1841399669647,COMPLETE
11,11,0.37115408106103015,2025-02-03 08:33:45.933172,2025-02-03 08:52:24.468675,0 days 00:18:38.535503,0.30000000000000004,0.0002847449507892824,1,LSTM,32,,1117.4460480213165,COMPLETE
12,12,0.36323032596353566,2025-02-03 08:52:24.468929,2025-02-03 09:08:26.760986,0 days 00:16:02.292057,0.2,0.00024385173309716498,3,LSTM,32,,961.0064618587494,COMPLETE
13,13,0.34785601222440876,2025-02-03 09:08:26.761248,2025-02-03 09:23:25.955239,0 days 00:14:59.193991,0.1,0.00019583792456953343,3,LSTM,32,,897.9098436832428,COMPLETE
14,14,0.415861251164032,2025-02-03 09:23:25.955494,2025-02-03 09:36:07.265288,0 days 00:12:41.309794,0.0,0.0002365593147964289,3,LSTM,96,,759.5861451625824,COMPLETE
15,15,0.37665168121408704,2025-02-03 09:36:07.265542,2025-02-03 09:50:08.713832,0 days 00:14:01.448290,0.2,0.00010257405425640401,3,GRU,64,,840.1205358505249,COMPLETE
16,16,0.38863351992927364,2025-02-03 09:50:08.714099,2025-02-03 10:00:50.849359,0 days 00:10:42.135260,0.30000000000000004,0.0004947475742847347,2,GRU,32,,641.0138807296753,COMPLETE
17,17,0.41863220779555915,2025-02-03 10:00:50.849609,2025-02-03 10:15:36.571905,0 days 00:14:45.722296,0.0,0.000439947982220416,3,LSTM,32,,884.4253709316254,COMPLETE
18,18,0.383059069590046,2025-02-03 10:15:36.572170,2025-02-03 10:25:25.040833,0 days 00:09:48.468663,0.2,0.0008704870277938296,2,LSTM,32,,587.3191404342651,COMPLETE
19,19,0.44066930102392066,2025-02-03 10:25:25.041093,2025-02-03 10:34:44.205705,0 days 00:09:19.164612,0.30000000000000004,0.00039116366646706067,2,LSTM,96,,557.7156319618225,COMPLETE
20,20,0.33942522340274506,2025-02-03 10:34:44.205956,2025-02-03 10:49:37.102241,0 days 00:14:52.896285,0.0,0.0001691196249380063,2,GRU,32,,891.7497284412384,COMPLETE
21,21,0.386247437827467,2025-02-03 10:49:37.102501,2025-02-03 11:01:30.304800,0 days 00:11:53.202299,0.0,0.0002224547312444867,2,GRU,64,,712.0073924064636,COMPLETE
22,22,0.3663736369478081,2025-02-03 11:01:30.305058,2025-02-03 11:13:19.467739,0 days 00:11:49.162681,0.0,0.00022626378172649445,2,GRU,32,,708.0174887180328,COMPLETE
23,23,0.33971813332643896,2025-02-03 11:13:19.467986,2025-02-03 11:32:35.644398,0 days 00:19:16.176412,0.0,0.00012481296454923437,3,LSTM,32,,1154.8402078151703,COMPLETE
24,24,0.36123130675846477,2025-02-03 11:32:35.644652,2025-02-03 11:44:10.967628,0 days 00:11:35.322976,0.0,0.00020983120204970846,2,LSTM,32,,694.1420955657959,COMPLETE
25,25,0.3620286154685776,2025-02-03 11:44:10.967879,2025-02-03 11:55:45.721434,0 days 00:11:34.753555,0.4,0.00029146033587019787,2,LSTM,32,,693.5768177509308,COMPLETE
26,26,0.39651579348508315,2025-02-03 11:55:45.721685,2025-02-03 12:07:41.195391,0 days 00:11:55.473706,0.5,0.00021519490418673917,3,GRU,128,,713.6548018455505,COMPLETE
27,27,0.41611560690628896,2025-02-03 12:07:41.195647,2025-02-03 12:20:36.201551,0 days 00:12:55.005904,0.5,0.003548709028938016,3,LSTM,96,,773.2493345737457,COMPLETE
28,28,0.38680152299405446,2025-02-03 12:20:36.201805,2025-02-03 12:33:17.797622,0 days 00:12:41.595817,0.1,0.00031081069947811547,3,GRU,32,,760.362316608429,COMPLETE
29,29,0.3610010577156128,2025-02-03 12:33:17.797879,2025-02-03 12:46:32.231224,0 days 00:13:14.433345,0.0,0.0001245027121413716,3,LSTM,32,,793.0970704555511,COMPLETE
30,30,0.3320625901078688,2025-02-03 12:46:32.231474,2025-02-03 12:56:59.405268,0 days 00:10:27.173794,0.0,0.00032645024319124627,1,GRU,32,,626.0945143699646,COMPLETE
31,31,0.35324302488733955,2025-02-03 12:56:59.405514,2025-02-03 13:05:03.918929,0 days 00:08:04.513415,0.1,0.00037901641688218104,1,GRU,32,,483.4306995868683,COMPLETE
32,32,0.41430967930337753,2025-02-03 13:05:03.919188,2025-02-03 13:13:15.400197,0 days 00:08:11.481009,0.0,0.0010299985618765757,1,GRU,64,,490.4002208709717,COMPLETE
33,33,0.33593765108549656,2025-02-03 13:13:15.400455,2025-02-03 13:21:42.140730,0 days 00:08:26.740275,0.0,0.0005636660603690668,1,GRU,32,,505.65798568725586,COMPLETE
34,34,0.370753899664432,2025-02-03 13:21:42.140979,2025-02-03 13:31:51.377880,0 days 00:10:09.236901,0.0,0.0005981638741680292,1,LSTM,32,,608.1161935329437,COMPLETE
35,35,0.3259238025839002,2025-02-03 13:31:51.378128,2025-02-03 13:50:46.798441,0 days 00:18:55.420313,0.0,0.00011438179946214667,1,GRU,32,,1134.3393700122833,COMPLETE
36,36,0.33631287961713047,2025-02-03 13:50:46.798686,2025-02-03 14:08:50.225858,0 days 00:18:03.427172,0.0,0.00011677331774964836,1,GRU,32,,1082.3452367782593,COMPLETE
37,37,0.34211411395060737,2025-02-03 14:08:50.226113,2025-02-03 14:29:52.736276,0 days 00:21:02.510163,0.0,0.00012408572001843763,1,GRU,32,,1261.430904865265,COMPLETE
38,38,0.34009918657493277,2025-02-03 14:29:52.736523,2025-02-03 14:40:17.769230,0 days 00:10:25.032707,0.0,0.000296421709742942,1,GRU,32,,623.9531488418579,COMPLETE
39,39,0.3486442982710898,2025-02-03 14:40:17.769476,2025-02-03 14:49:24.691139,0 days 00:09:06.921663,0.2,0.000155079453450719,1,GRU,64,,545.8407506942749,COMPLETE
40,40,0.7139428872932481,2025-02-03 14:49:24.691396,2025-02-03 14:56:48.313679,0 days 00:07:23.622283,0.5,0.0028565937416470963,1,GRU,64,,442.54481983184814,COMPLETE
41,41,0.3657359082267672,2025-02-03 14:56:48.313932,2025-02-03 15:05:50.300529,0 days 00:09:01.986597,0.0,0.00015361307064286242,1,GRU,64,,540.9046854972839,COMPLETE
42,42,0.3474023140222801,2025-02-03 15:05:50.300792,2025-02-03 15:13:48.363586,0 days 00:07:58.062794,0.0,0.001071837394199308,1,GRU,32,,476.98338198661804,COMPLETE
