,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.27414696317830306,2025-01-28 16:11:40.358895,2025-01-28 16:18:47.751622,0 days 00:07:07.392727,112,16,dft_decomp,1,2,0.0,3,0.0004906211471786042,15,2,,427.22081327438354,COMPLETE
1,1,0.2779337141306076,2025-01-28 16:11:40.359983,2025-01-28 16:21:01.236409,0 days 00:09:20.876426,16,32,dft_decomp,1,2,0.2,1,0.0015051259147702324,1,1,,560.7725923061371,COMPLETE
2,2,0.2752583278135002,2025-01-28 16:18:47.752431,2025-01-28 16:31:19.054939,0 days 00:12:31.302508,64,16,moving_avg,2,3,0.4,3,0.0009953984218613297,3,1,,751.1748552322388,COMPLETE
3,3,0.2743246968734824,2025-01-28 16:21:01.237348,2025-01-28 16:29:54.638012,0 days 00:08:53.400664,128,48,dft_decomp,2,2,0.0,2,0.00015100480225530322,23,4,,533.1522181034088,COMPLETE
4,4,0.273930791829991,2025-01-28 16:29:54.638763,2025-01-28 16:40:37.282804,0 days 00:10:42.644041,112,32,moving_avg,2,2,0.0,1,0.007279474405682627,9,3,,642.5207705497742,COMPLETE
5,5,0.27567662537614585,2025-01-28 16:31:19.055761,2025-01-28 16:38:54.475494,0 days 00:07:35.419733,128,48,dft_decomp,1,2,0.4,3,0.00027418846945129096,23,1,,455.1521909236908,COMPLETE
6,6,0.27126961572047587,2025-01-28 16:38:54.476159,2025-01-28 16:44:11.315786,0 days 00:05:16.839627,96,32,dft_decomp,1,4,0.1,2,0.0006432986894037021,21,4,,316.69630241394043,COMPLETE
7,7,0.26587023881291605,2025-01-28 16:40:37.283406,2025-01-28 17:02:59.754557,0 days 00:22:22.471151,112,64,dft_decomp,2,4,0.4,1,0.00021306088073796614,3,4,,1342.2980716228485,COMPLETE
8,8,0.2777838744752091,2025-01-28 16:44:11.316374,2025-01-28 16:51:27.155021,0 days 00:07:15.838647,16,16,moving_avg,1,3,0.4,2,0.0011780395204057392,1,3,,435.77712082862854,COMPLETE
9,9,0.2769138440348898,2025-01-28 16:51:27.155561,2025-01-28 16:58:14.663640,0 days 00:06:47.508079,96,32,dft_decomp,1,4,0.1,3,0.00041530965905523594,17,5,,407.32355403900146,COMPLETE
10,10,0.2807788796247212,2025-01-28 16:58:14.664178,2025-01-28 17:04:11.554270,0 days 00:05:56.890092,64,32,dft_decomp,1,4,0.1,2,0.0029854559579094433,13,2,,356.74730110168457,COMPLETE
11,11,0.2706799874445656,2025-01-28 17:02:59.755138,2025-01-28 17:13:54.644288,0 days 00:10:54.889150,96,64,dft_decomp,2,4,0.5,2,0.00011933135870206557,3,4,,654.641695022583,COMPLETE
12,12,0.26710807559355837,2025-01-28 17:04:11.554822,2025-01-28 17:14:10.784915,0 days 00:09:59.230093,96,64,dft_decomp,2,4,0.4,1,0.00023033249045168784,3,3,,599.0614757537842,COMPLETE
