,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_dropout,params_e_layers,params_learning_rate,params_num_kernels,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.3362901341197973,2025-02-03 15:07:28.891393,2025-02-03 21:48:13.351988,0 days 06:40:44.460595,16,112,0.1,1,0.008045870328917952,5,5,,23991.398036003113,COMPLETE
1,1,0.3496608800490577,2025-02-03 15:07:28.897202,2025-02-03 23:09:51.198337,0 days 08:02:22.301135,32,128,0.2,2,0.0001449953074700531,1,2,,28910.47133755684,COMPLETE
2,2,0.35184069377063826,2025-02-03 21:48:13.353122,2025-02-06 03:02:54.270022,2 days 05:14:40.916900,256,96,0.1,1,0.0012057013187357502,6,4,,189624.80962896347,COMPLETE
3,3,0.34152806701025556,2025-02-03 23:09:51.199727,2025-02-04 03:55:25.766809,0 days 04:45:34.567082,144,112,0.3,2,0.001872775714521432,3,5,,17055.772579669952,COMPLETE
4,4,0.3667399789750105,2025-02-04 03:55:25.768317,2025-02-04 13:37:01.272216,0 days 09:41:35.503899,80,16,0.1,3,0.00010392585228880989,5,5,,34803.94080877304,COMPLETE
5,5,0.3548001760640447,2025-02-04 13:37:01.273637,2025-02-04 17:36:59.575589,0 days 03:59:58.301952,144,48,0.0,1,0.003278503887380975,5,3,,14366.317567110062,COMPLETE
6,6,0.3449065019150946,2025-02-04 17:36:59.576984,2025-02-05 13:11:02.599473,0 days 19:34:03.022489,176,16,0.2,2,0.00014722468543571277,1,4,,70416.67641305923,COMPLETE
7,7,0.37684930047185294,2025-02-05 13:11:02.600858,2025-02-05 21:03:12.363708,0 days 07:52:09.762850,256,16,0.1,2,0.0002473876145673825,5,5,,28220.81184220314,COMPLETE
8,8,0.3552010235970007,2025-02-05 21:03:12.365089,2025-02-06 04:25:16.424843,0 days 07:22:04.059754,224,16,0.2,2,0.009501965890990999,1,4,,26494.58998775482,COMPLETE
9,9,0.33115504280569424,2025-02-06 03:02:54.271418,2025-02-06 12:27:50.587885,0 days 09:24:56.316467,32,112,0.2,1,0.005430802182017618,5,4,,33857.20249438286,COMPLETE
10,10,0.3713018170158153,2025-02-06 04:25:16.426266,2025-02-06 11:14:22.043438,0 days 06:49:05.617172,16,96,0.1,2,0.005298176848959133,6,5,,24416.18626666069,COMPLETE
11,11,0.3527512351953683,2025-02-06 11:14:22.044734,2025-02-06 23:04:01.394558,0 days 11:49:39.349824,80,112,0.0,2,0.009076444548077477,3,4,,42523.817143678665,COMPLETE
12,12,0.3334619568963597,2025-02-06 12:27:50.590440,2025-02-07 06:15:04.770676,0 days 17:47:14.180236,80,96,0.2,1,0.005689245013957092,4,3,,63783.71474981308,COMPLETE
13,13,0.33789416750363394,2025-02-06 23:04:01.395937,2025-02-07 18:31:21.573098,0 days 19:27:20.177161,32,96,0.2,1,0.0055034017177264995,6,2,,69960.94818878174,COMPLETE
14,14,0.3374841779848307,2025-02-07 06:15:04.771717,2025-02-07 19:16:09.435074,0 days 13:01:04.663357,80,112,0.3,1,0.0018728049350282638,5,2,,46509.80809736252,COMPLETE
15,15,0.33587078445102153,2025-02-07 18:31:21.574388,2025-02-08 02:55:07.858731,0 days 08:23:46.284343,112,48,0.3,1,0.009193222789686624,3,2,,30208.771617650986,COMPLETE
16,16,0.33930221185585774,2025-02-07 19:16:09.436406,2025-02-08 04:42:33.538327,0 days 09:26:24.101921,16,64,0.2,1,0.004325900422655663,3,2,,33966.945076942444,COMPLETE
17,17,0.3366750430595172,2025-02-08 02:55:07.860345,2025-02-08 07:49:35.478299,0 days 04:54:27.617954,32,128,0.2,1,0.00038172447383053807,6,4,,17608.373906850815,COMPLETE
18,18,0.34861609787738385,2025-02-08 04:42:33.539604,2025-02-08 17:26:53.887420,0 days 12:44:20.347816,160,112,0.2,2,0.005643906262104492,6,4,,45689.081158638,COMPLETE
19,19,0.34026952397431326,2025-02-08 07:49:35.480332,2025-02-08 13:19:10.656573,0 days 05:29:35.176241,96,48,0.2,1,0.0010913844435303471,5,4,,19611.03743314743,COMPLETE
