# Source: Open Power System Data - Household Data, v2020-04-15
# Changes: cleaned & resampled by ULudo, 2025 - CC BY 4.0
unixtime,load,pv
1444495500,0.0390,0.0000
1444496400,0.0310,0.0000
1444497300,0.0750,0.0000
1444498200,0.1760,0.0000
1444499100,0.5410,0.0000
1444500000,0.4400,0.0000
1444500900,0.1670,0.0000
1444501800,0.0640,0.0000
1444502700,0.0840,0.0000
1444503600,0.0860,0.0000
1444504500,0.0880,0.0000
1444505400,0.0710,0.0000
1444506300,0.1100,0.0000
1444507200,0.0920,0.0000
1444508100,0.0770,0.0000
1444509000,0.0640,0.0000
1444509900,0.0940,0.0000
1444510800,0.0600,0.0000
1444511700,0.0490,0.0000
1444512600,0.0550,0.0000
1444513500,0.0360,0.0000
1444514400,0.0390,0.0000
1444515300,0.0600,0.0000
1444516200,0.0500,0.0000
1444517100,0.0410,0.0000
1444518000,0.0400,0.0000
1444518900,0.0390,0.0000
1444519800,0.0400,0.0000
1444520700,0.0310,0.0000
1444521600,0.0390,0.0000
1444522500,0.0420,0.0000
1444523400,0.0470,0.0000
1444524300,0.0510,0.0000
1444525200,0.0490,0.0000
1444526100,0.0300,0.0000
1444527000,0.0370,0.0000
1444527900,0.0400,0.0000
1444528800,0.0330,0.0000
1444529700,0.0430,0.0000
1444530600,0.0390,0.0000
1444531500,0.0420,0.0000
1444532400,0.0580,0.0000
1444533300,0.0400,0.0000
1444534200,0.0400,0.0000
1444535100,0.0300,0.0000
1444536000,0.0390,0.0000
1444536900,0.0400,0.0000
1444537800,0.0350,0.0000
1444538700,0.0320,0.0000
1444539600,0.0480,0.0000
1444540500,0.0460,0.0000
1444541400,0.0440,0.0000
1444542300,0.0460,0.0000
1444543200,0.0280,0.0100
1444544100,0.0100,0.0330
1444545000,0.0700,0.0620
1444545900,0.0050,0.1000
1444546800,0.0060,0.1230
1444547700,0.0090,0.1750
1444548600,0.0000,0.2570
1444549500,0.0000,0.2700
1444550400,0.0000,0.2620
1444551300,0.0000,0.3230
1444552200,0.0000,0.4630
1444553100,0.0000,0.2990
1444554000,0.0000,0.2700
1444554900,0.0000,0.3400
1444555800,0.0000,0.4320
1444556700,0.0000,0.3520
1444557600,0.0010,0.5770
1444558500,0.0010,1.1290
1444559400,0.2630,0.6430
1444560300,0.3330,0.6000
1444561200,0.2120,0.4400
1444562100,0.1360,0.5380
1444563000,0.1130,0.4790
1444563900,0.1130,0.3730
1444564800,0.0920,0.4100
1444565700,0.1620,0.3520
1444566600,0.1560,0.3160
1444567500,0.0630,0.2670
1444568400,0.0250,0.2520
1444569300,0.0450,0.2700
1444570200,0.0350,0.2700
1444571100,0.0000,0.2430
1444572000,0.0000,0.2370
1444572900,0.0000,0.2230
1444573800,0.0000,0.2400
1444574700,0.0000,0.2270
1444575600,0.0000,0.1750
1444576500,0.0000,0.1060
1444577400,0.0070,0.0590
1444578300,0.0030,0.0410
1444579200,0.0100,0.0220
1444580100,0.0370,0.0100
1444581000,0.0600,0.0000
1444581900,0.0500,0.0000
1444582800,0.0590,0.0000
1444583700,0.0710,0.0000
1444584600,0.0420,0.0000
1444585500,0.0500,0.0000
1444586400,0.0540,0.0000
1444587300,0.1280,0.0000
1444588200,0.1010,0.0000
1444589100,0.0850,0.0000
1444590000,0.0880,0.0000
1444590900,0.0810,0.0000
1444591800,0.0690,0.0000
1444592700,0.0800,0.0000
1444593600,0.0710,0.0000
1444594500,0.0610,0.0000
1444595400,0.0980,0.0000
1444596300,0.0710,0.0000
1444597200,0.0890,0.0000
1444598100,0.0740,0.0000
1444599000,0.0510,0.0000
1444599900,0.0370,0.0000
1444600800,0.0510,0.0000
1444601700,0.0500,0.0000
1444602600,0.0410,0.0000
1444603500,0.0480,0.0000
1444604400,0.0410,0.0000
1444605300,0.0590,0.0000
1444606200,0.0600,0.0000
1444607100,0.0490,0.0000
1444608000,0.0410,0.0000
1444608900,0.0420,0.0000
1444609800,0.0380,0.0000
1444610700,0.0600,0.0000
1444611600,0.0300,0.0000
1444612500,0.0400,0.0000
1444613400,0.0690,0.0000
1444614300,0.0450,0.0000
1444615200,0.0470,0.0000
1444616100,0.0540,0.0000
1444617000,0.0400,0.0000
1444617900,0.0350,0.0000
1444618800,0.0500,0.0000
1444619700,0.0390,0.0000
1444620600,0.0420,0.0000
1444621500,0.0490,0.0000
1444622400,0.0500,0.0000
1444623300,0.0700,0.0000
1444624200,0.0750,0.0000
1444625100,0.1330,0.0000
1444626000,0.0780,0.0000
1444626900,0.0830,0.0000
1444627800,0.0680,0.0000
